FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Label
image-033,2,891,34,35,105,12.489587819937007,
image-033,3,860,77,40,349,12.196428571428571,
image-033,4,830,36,540,382,12.444444444444445,
image-033,5,494,31,35,409,12.505648195082118,
image-033,6,218,33,37,890,10.530164155430668,
image-034,0,886,111,127,322,15.61111111111111,
image-034,1,643,36,30,384,12.413577378858905,
image-034,2,613,46,30,598,12.066666666666666,
image-034,3,369,39,25,628,12.262516350093554,
image-034,4,124,44,23,874,12.669781235783017,
image-034,5,52,108,221,1153,10.02127659574468,
image-034,6,28,80,700,1185,10,
image-035,0,1171,39,737,38,12,
image-035,1,1168,125,117,42,10.528301886792454,
image-035,2,832,38,30,104,12.518827265483193,
image-035,3,740,36,39,409,12.498015873015873,
image-035,4,710,80,36,499,13.411764705882353,
image-035,5,648,36,33,528,13.100877192982455,
image-035,6,160,29,32,594,12.367701553039288,
image-035,7,116,90,38,1095,9.73913043478261,
image-035,8,88,29,637,1121,9.571428571428571,
image-035,9,38,29,39,1145,10.139971139971141,
image-036,0,1173,215,211,37,10.38888888888889,
image-036,1,1174,743,31,34,13,
image-036,2,925,43,27,101,12.474188553046716,
image-036,3,892,47,33,317,12.631578947368421,
image-036,4,376,38,29,345,12.346520414172362,
image-036,5,132,38,26,863,12.539781978977954,
image-036,6,39,77,181,1118,9.998177426438295,
image-037,0,1171,38,737,38,12.5,
image-037,1,1170,126,116,42,10.528301886792454,
image-037,2,769,39,29,107,12.615969871904653,
image-037,3,128,30,32,470,12.328303867238123,
image-037,4,38,68,39,1121,9.963771453133155,
image-038,0,1171,215,211,40,10.38888888888889,
image-038,1,1172,746,30,38,12,
image-038,2,984,40,31,105,12.850575434918289,
image-038,3,955,42,36,257,12.23728813559322,
image-038,4,831,37,33,288,12.550385469593838,
image-038,5,741,38,31,411,12.256777873645865,
image-038,6,619,36,36,496,11.478754171301446,
image-038,7,556,36,41,619,12.91931818181818,
image-038,8,600,752,39,619,9,
image-038,9,159,28,36,686,12.42213287846832,
image-038,10,37,66,261,1095,10.31327947845805,
image-039,0,1178,29,746,33,12.5,
image-039,1,1176,117,125,34,10.528301886792454,
image-039,2,927,31,33,101,12.561701210547463,
image-039,3,533,33,28,314,12.382079259847039,
image-039,4,136,36,29,710,12.352853017096324,
image-039,5,105,39,365,1107,12.375,
image-039,6,43,40,32,1134,12.626953748006379,
image-040,0,1173,213,213,37,10.38888888888889,
image-040,1,1175,742,34,34,12,
image-040,2,835,39,29,102,12.095674669491238,
image-040,3,779,91,27,431,9.742857142857142,
image-040,4,754,36,706,457,11.6,
image-040,5,322,36,30,482,10.72942128469372,
image-040,6,93,37,29,918,10.527823463083143,
image-040,7,69,45,638,1145,9.75,
image-040,8,42,77,125,1165,9.966666666666667,
image-041,0,1174,39,737,37,12,
image-041,1,1172,127,117,39,10.49056603773585,
image-041,2,924,38,29,104,12.29280124330008,
image-041,3,161,31,30,312,12.351314034426318,
image-041,4,86,67,38,1122,9.857142857142858,
image-041,5,63,22,664,1148,10.363636363636363,
image-041,6,37,67,303,1173,10.75,
image-042,0,1176,216,210,36,10.38888888888889,
image-042,1,1177,746,28,34,13,
image-042,2,958,44,29,98,12.314651980279493,
image-042,3,898,39,32,282,12.190927077444885,
image-042,4,378,31,29,345,12.499051551628625,
image-042,5,104,29,40,863,11.901133549001704,
image-042,6,40,85,85,1166,9.545454545454545,
image-043,0,1182,29,746,28,12.5,
image-043,1,1181,117,125,31,10.528301886792454,
image-043,2,964,29,36,95,12.372654313132136,
image-043,3,720,27,37,275,12.340099390243966,
image-043,4,261,30,37,521,12.49045339507504,
image-043,5,108,29,40,981,12.754065792327273,
image-043,6,49,71,166,1158,10.053571428571429,
image-044,0,1173,215,211,40,10.38888888888889,
image-044,1,1173,209,576,40,15,
image-044,2,1173,744,30,38,13,
image-044,3,1046,46,37,104,11.89767378215654,
image-044,4,892,39,33,193,12.10162134832503,
image-044,5,650,36,30,348,12.478942943112976,
image-044,6,619,40,32,591,13.481481481481481,
image-044,7,40,35,30,622,12.222072809918648,
image-045,0,1173,32,743,39,12.5,
image-045,1,1172,121,122,41,10.50943396226415,
image-045,2,924,35,33,102,12.401367459864387,
image-045,3,892,34,41,319,12.946428571428571,
image-045,4,831,28,36,343,12.091269841269842,
image-045,5,618,30,33,405,12.625775282703989,
image-045,6,589,36,33,623,13.053571428571429,
image-045,7,557,36,656,656,12,
image-045,8,100,33,35,681,12.475616479368433,
image-045,9,38,93,200,1171,10.5625,
image-046,0,1172,207,219,40,10.38888888888889,
image-046,1,1174,738,39,36,11.5,
image-046,2,1015,36,40,103,12.466258631512869,
image-046,3,375,32,32,221,12.359842240121814,
image-046,4,38,36,30,869,12.320597590462377,
image-047,0,1173,41,734,38,12.5,
image-047,1,1171,128,114,41,10.528301886792454,
image-047,2,983,39,29,107,12.281742054785333,
image-047,3,802,39,30,253,12.381497332252408,
image-047,4,740,39,30,441,12.170325090302862,
image-047,5,588,35,34,496,12.661663881927039,
image-047,6,436,36,31,655,12.886418041236706,
image-047,7,373,36,28,807,12.32023742227247,
image-047,8,40,31,30,865,11.936309926304999,
image-048,0,156,219,204,1054,10.472222222222221,
image-049,0,1193,208,218,18,10.38888888888889,
image-049,1,1196,741,35,16,12,
image-049,2,246,34,33,81,12.246141097984237,
image-049,3,123,36,35,992,12.612802289293473,
image-049,4,57,92,306,1150,10.05,
image-049,5,20,93,394,1192,10.096774193548388,
image-050,0,1173,39,738,38,11.5,
image-050,1,1171,122,117,41,11.22,
image-050,2,986,37,29,104,12.326569661163187,
image-050,3,560,35,29,256,12.213445580531694,
image-050,4,346,31,31,683,12.19785981537928,
image-050,5,316,39,38,894,12.46551724137931,
image-050,6,40,32,31,927,12.37968260896992,
image-051,0,1186,232,219,24,10.264705882352942,
image-051,1,1189,737,34,21,14.5,
image-051,2,1091,35,40,88,12.075,
image-051,3,176,28,33,149,12.032939624370286,
image-051,4,79,37,39,1061,11.493462191860045,
image-051,5,55,30,428,1155,10.058823529411764,
image-051,6,28,92,685,1184,11.5,
image-052,0,1173,28,747,38,12.5,
image-052,1,1171,111,125,42,10.641509433962264,
image-052,2,1107,36,39,101,12.288135593220339,
image-052,3,528,28,32,133,12.47676454073573,
image-052,4,498,36,356,716,12,
image-052,5,102,36,29,742,12.175515770300589,
image-052,6,37,80,252,1170,9.551020408163266,
image-053,0,1173,205,221,38,10.38888888888889,
image-053,1,1173,738,40,40,11,
image-053,2,986,34,40,103,12.280114895463166,
image-053,3,955,36,454,256,11.481481481481481,
image-053,4,742,34,38,284,12.241844142375642,
image-053,5,133,32,33,497,12.207960884432897,
image-053,6,103,39,37,1110,11.67741935483871,
image-053,7,41,75,414,1167,10.366666666666667,
image-054,0,1177,33,742,33,12.5,
image-054,1,1177,117,122,34,10.584905660377359,
image-054,2,809,31,33,97,12.398695372921827,
image-054,3,261,31,32,431,12.346222761299993,
image-054,4,201,36,35,977,12.876333961079723,
image-054,5,110,33,33,1035,12.162414421204696,
image-054,6,50,36,32,1131,11.979015334947539,
image-055,0,1169,216,210,45,10.38888888888889,
image-055,1,1169,744,32,41,12,
image-055,2,983,40,31,108,12.461592163081905,
image-055,3,830,39,32,258,12.688844009098247,
image-055,4,618,35,32,412,12.438979329149197,
image-055,5,587,38,41,626,12.431034482758621,
image-055,6,131,31,33,653,12.497583286015079,
image-055,7,100,38,45,1111,11.95,
image-055,8,38,93,271,1169,8.89795918367347,
image-056,0,1170,33,744,41,11.5,
image-056,1,1169,117,125,43,10.528301886792454,
image-056,2,1045,34,38,104,12.636038131727787,
image-056,3,832,35,29,193,12.565538438010677,
image-056,4,466,37,28,413,12.47063852239632,
image-056,5,436,45,30,772,12.5,
image-056,6,100,39,22,808,12.401022916127392,
image-056,7,40,82,529,1169,9.45,
image-057,0,1185,201,226,25,10.36111111111111,
image-057,1,1183,735,41,23,12,
image-057,2,907,31,34,89,12.371214514731884,
image-057,3,875,36,307,337,12.026315789473685,
image-057,4,175,31,30,363,12.442480291423653,
image-057,5,145,45,30,1069,12.288135593220339,
image-057,6,49,46,40,1134,10.162179487179488,
image-058,0,1170,37,740,39,11.5,
image-058,1,1170,121,116,42,10.622641509433961,
image-058,2,922,37,33,108,12.083062930422349,
image-058,3,221,28,30,321,12.30110995578479,
image-058,4,129,31,38,1018,12.21111111111111,
image-058,5,39,68,289,1145,10.2985347985348,
image-059,0,1170,215,212,40,10.36111111111111,
image-059,1,1171,745,33,42,11,
image-059,2,985,39,29,106,11.939406600368823,
image-059,3,649,36,32,255,12.60582826152899,
image-059,4,437,36,32,590,12.354140313078844,
image-059,5,315,35,33,805,11.775363928376162,
image-059,6,42,36,33,927,12.301165891655105,
image-060,0,1170,125,117,41,10.528301886792454,
image-060,1,1105,78,32,103,12.105263157894736,
image-060,2,466,32,30,137,12.25527531204888,
image-060,3,161,36,30,777,12.118438775996236,
image-060,4,39,35,31,1078,12.167037092920731,
image-061,0,1170,208,218,41,10.38888888888889,
image-061,1,1171,738,36,38,13,
image-061,2,864,35,32,106,12.316914405264038,
image-061,3,834,42,701,380,11.4,
image-061,4,803,78,40,407,12.4,
image-061,5,71,36,27,438,12.340881554963412,
image-061,6,41,50,29,1167,12.431034482758621,
image-062,0,1171,36,737,40,13.5,
image-062,1,1170,120,116,43,11.28,
image-062,2,985,38,30,106,12.306019215864056,
image-062,3,709,39,30,256,12.491568064206668,
image-062,4,528,37,30,533,12.519224396869136,
image-062,5,41,39,29,715,12.40664243778319,
image-063,0,1170,207,219,40,10.38888888888889,
image-063,1,1172,740,34,38,13,
image-063,2,924,38,33,105,12.387965060272332,
image-063,3,894,78,40,318,13.372549019607844,
image-063,4,741,36,33,345,12.49142760962473,
image-063,5,39,87,373,1169,10,
image-064,0,876,93,121,332,15.421052631578947,
image-064,1,824,183,186,384,9.64795918367347,
image-064,2,754,92,100,430,10.522321428571429,
image-064,3,694,179,171,512,12.857142857142858,
image-064,4,609,30,38,567,11.31578947368421,
image-064,5,580,38,696,634,11,
image-064,6,427,36,31,662,12.308671827859188,
image-064,7,122,34,31,814,12.475532446626705,
image-064,8,34,72,232,1150,10.129271206690563,
image-065,0,1192,211,189,20,10.526315789473685,
image-065,1,1195,742,32,17,13,
image-065,2,1098,42,31,84,12.041666666666668,
image-065,3,1068,45,361,145,12.709677419354838,
image-065,4,731,36,32,171,12.342723746390698,
image-065,5,700,80,46,511,12.254545454545454,
image-065,6,486,38,32,542,12.004282210903602,
image-065,7,426,38,39,753,13.245283018867925,
image-065,8,394,36,629,815,12.272727272727273,
image-065,9,120,32,34,844,12.145384296650175,
image-065,10,59,38,37,1118,12.790909090909091,
image-065,11,14,57,424,1196,9.666666666666666,
image-066,0,1171,33,745,42,11,
image-066,1,1168,119,117,44,10.641509433962264,
image-066,2,1044,36,35,108,11.833626956644999,
image-066,3,982,36,39,196,12.600258971513135,
image-066,4,525,34,30,257,12.856570888209056,
image-066,5,371,36,31,715,12.667752050533649,
image-066,6,95,36,32,868,12.329632664593015,
image-066,7,38,100,88,1169,10.372881355932204,
image-067,0,1183,205,196,28,10.5,
image-067,1,1185,733,41,25,13,
image-067,2,661,36,33,87,12.488023557775392,
image-067,3,538,38,33,581,12.67231638418079,
image-067,4,510,42,681,704,11,
image-067,5,414,37,35,762,12.088888888888889,
image-067,6,52,36,28,849,12.288843447008396,
image-067,7,24,64,713,1187,11.5,
image-068,0,1148,29,131,62,11.428571428571429,
image-068,1,1021,33,36,128,12.519753086419753,
image-068,2,991,35,666,222,12.375,
image-068,3,839,31,38,247,12.693616497116192,
image-068,4,809,38,619,404,13,
image-068,5,623,29,35,430,12.484647095396426,
image-068,6,412,32,36,612,12.537564101700738,
image-068,7,319,36,39,829,12.643747823058169,
image-069,0,882,66,80,326,15.571428571428571,
image-069,1,836,199,202,374,14.777777777777779,
image-069,2,795,126,132,414,10.84,
image-069,3,167,37,29,463,12.243421853680516,
image-069,4,89,76,61,1095,10.43188057652711,
image-069,5,64,37,704,1145,8.428571428571429,
image-069,6,38,76,231,1170,9.48076923076923,
image-070,0,1181,33,739,29,14,
image-070,1,1179,121,121,33,10.528301886792454,
image-070,2,1113,37,35,97,11.741935483870968,
image-070,3,534,31,33,124,12.440106286089886,
image-070,4,348,30,33,706,12.325211176088368,
image-070,5,166,28,40,888,12.572884041778737,
